"cod_municipio","municipio","estado","valor"
2103158,Centro do Guilherme,MA,320
2103174,Centro Novo do Maranhão,MA,250
2103208,Chapadinha,MA,900
2103257,Cidelândia,MA,492
2103307,Codó,MA,2550
2103406,Coelho Neto,MA,500
2103505,Colinas,MA,3150
2103554,Conceição do Lago-Açu,MA,125
2103604,Coroatá,MA,1350
2103703,Cururupu,MA,56
2103752,Davinópolis,MA,200
2103802,Dom Pedro,MA,1410
2103901,Duque Bacelar,MA,190
2104008,Esperantinópolis,MA,584
2104057,Estreito,MA,1386
2104073,Feira Nova do Maranhão,MA,1458
2104081,Fernando Falcão,MA,2835
2104099,Formosa da Serra Negra,MA,1100
2104107,Fortaleza dos Nogueiras,MA,11700
2104206,Fortuna,MA,4960
2104305,Godofredo Viana,MA,68
2104404,Gonçalves Dias,MA,1075
2104503,Governador Archer,MA,245
2104552,Governador Edison Lobão,MA,150
2104602,Governador Eugênio Barros,MA,1580
2104628,Governador Luiz Rocha,MA,1650
2104651,Governador Newton Bello,MA,86
2104677,Governador Nunes Freire,MA,280
2104701,Graça Aranha,MA,705
2104800,Grajaú,MA,8147
2104909,Guimarães,MA,146
2105005,Humberto de Campos,MA,60
2105104,Icatu,MA,19
2105153,Igarapé do Meio,MA,43
2105203,Igarapé Grande,MA,273
2105302,Imperatriz,MA,54
2105351,Itaipava do Grajaú,MA,422
2105401,Itapecuru Mirim,MA,724
2105427,Itinga do Maranhão,MA,2893
2105450,Jatobá,MA,1095
2105476,Jenipapo dos Vieiras,MA,620
2105500,João Lisboa,MA,323
2105609,Joselândia,MA,270
2105658,Junco do Maranhão,MA,102
2105708,Lago da Pedra,MA,2550
2105807,Lago do Junco,MA,524
2105906,Lago Verde,MA,205
2105922,Lagoa do Mato,MA,950
2105948,Lago dos Rodrigues,MA,478
2105963,Lagoa Grande do Maranhão,MA,845
2105989,Lajeado Novo,MA,234
2106003,Lima Campos,MA,417
2106102,Loreto,MA,14500
2106201,Luís Domingues,MA,40
2106300,Magalhães de Almeida,MA,744
2106326,Maracaçumé,MA,100
2106359,Marajá do Sena,MA,1300
2106375,Maranhãozinho,MA,120
2106409,Mata Roma,MA,1100
2106508,Matinha,MA,280
2106607,Matões,MA,3000
2106631,Matões do Norte,MA,395
2106672,Milagres do Maranhão,MA,250
2106706,Mirador,MA,4100
2106755,Miranda do Norte,MA,97
2106805,Mirinzal,MA,343
2106904,Monção,MA,275
2107001,Montes Altos,MA,196
2107100,Morros,MA,103
2107209,Nina Rodrigues,MA,125
2107258,Nova Colinas,MA,1760
2107308,Nova Iorque,MA,1025
2107357,Nova Olinda do Maranhão,MA,167
2107407,Olho d'Água das Cunhãs,MA,223
2107456,Olinda Nova do Maranhão,MA,270
2107605,Palmeirândia,MA,539
2107704,Paraibano,MA,556
2107803,Parnarama,MA,4000
2107902,Passagem Franca,MA,1600
2108009,Pastos Bons,MA,2015
2108058,Paulino Neves,MA,94
2108108,Paulo Ramos,MA,953
2108207,Pedreiras,MA,204
2108256,Pedro do Rosário,MA,468
2108306,Penalva,MA,650
2108405,Peri Mirim,MA,225
2108454,Peritoró,MA,370
2108504,Pindaré-Mirim,MA,59
2108603,Pinheiro,MA,586
2108702,Pio XII,MA,365
2108801,Pirapemas,MA,330
2108900,Poção de Pedras,MA,422
2109007,Porto Franco,MA,585
2109056,Porto Rico do Maranhão,MA,49
2109106,Presidente Dutra,MA,1350
2109205,Presidente Juscelino,MA,35
2109239,Presidente Médici,MA,60
2109270,Presidente Sarney,MA,630
2109304,Presidente Vargas,MA,267
2109403,Primeira Cruz,MA,15
2109502,Riachão,MA,21440
2109551,Ribamar Fiquene,MA,101
2109601,Rosário,MA,30
2109700,Sambaíba,MA,20910
2109759,Santa Filomena do Maranhão,MA,465
2109809,Santa Helena,MA,335
2109908,Santa Inês,MA,75
2110005,Santa Luzia,MA,9500
2110039,Santa Luzia do Paruá,MA,75
